city,section,key,value,note
巴黎,daily_budget,低,500,
巴黎,daily_budget,中,1200,
巴黎,daily_budget,高,3500,
巴黎,restaurants,低,小酒馆,
巴黎,restaurants,低,面包房早餐,
巴黎,restaurants,低,午市特价套餐,
巴黎,restaurants,中,法式小餐馆,
巴黎,restaurants,中,特色餐厅,
巴黎,restaurants,高,米其林餐厅,
巴黎,restaurants,高,豪华酒店餐厅,
巴黎,attractions,culture,卢浮宫,
巴黎,attractions,culture,奥赛博物馆,
巴黎,attractions,culture,凯旋门,
巴黎,attractions,culture,蒙马特高地,
巴黎,attractions,culture,蓬皮杜艺术中心,
巴黎,attractions,nature,塞纳河畔,
巴黎,attractions,nature,凡尔赛花园,
巴黎,attractions,nature,卢森堡公园,
巴黎,attractions,nature,布洛涅森林,
巴黎,attractions,food,塞纳河餐厅,
巴黎,attractions,food,蒙马特咖啡馆,
巴黎,attractions,food,马卡龙工坊,
巴黎,attractions,food,圣日耳曼德佩市集,
巴黎,attractions,shopping,香榭丽舍大街,
巴黎,attractions,shopping,老佛爷百货,
巴黎,attractions,shopping,玛莱区精品店,
巴黎,attractions,shopping,蚤市,
巴黎,attractions,history,凡尔赛宫,
巴黎,attractions,history,巴黎圣母院,
巴黎,attractions,history,荣军院,
巴黎,attractions,history,巴士底广场,
巴黎,attractions,nightlife,玛莱区酒吧,
巴黎,attractions,nightlife,拉丁区夜生活,
巴黎,attractions,nightlife,塞纳河游船夜景,
巴黎,transport,transport,地铁（Métro）交通便利，推荐购买 Navigo 周票,
巴黎,tips,tip,博物馆周日部分免费,
巴黎,tips,tip,景点提前网上预约省时间,
东京,daily_budget,低,400,
东京,daily_budget,中,900,
东京,daily_budget,高,2800,
东京,restaurants,低,便利店美食,
东京,restaurants,低,拉面店,
东京,restaurants,低,牛丼连锁,
东京,restaurants,中,居酒屋,
东京,restaurants,中,回转寿司,
东京,restaurants,中,烧肉,
东京,restaurants,高,高级料亭,
东京,restaurants,高,米其林餐厅,
东京,restaurants,高,天妇罗老店,
东京,attractions,culture,浅草寺,
东京,attractions,culture,皇居,
东京,attractions,culture,东京国立博物馆,
东京,attractions,culture,teamLab 数字艺术馆,
东京,attractions,nature,上野公园,
东京,attractions,nature,新宿御苑,
东京,attractions,nature,隅田川,
东京,attractions,nature,高尾山,
东京,attractions,food,筑地市场,
东京,attractions,food,寿司吧,
东京,attractions,food,拉面街,
东京,attractions,food,新宿御苑附近居酒屋,
东京,attractions,shopping,涩谷109,
东京,attractions,shopping,银座,
东京,attractions,shopping,秋叶原,
东京,attractions,shopping,原宿竹下通,
东京,attractions,history,明治神宫,
东京,attractions,history,增上寺,
东京,attractions,history,江户东京博物馆,
东京,attractions,nightlife,新宿歌舞伎町,
东京,attractions,nightlife,六本木夜生活,
东京,attractions,nightlife,浅草花屋敷,
东京,transport,transport,地铁+JR线全面覆盖，推荐 Suica 卡,
东京,tips,tip,购买 24/48/72h 地铁通票划算,
东京,tips,tip,便利店是日本饮食体验的一部分,
纽约,daily_budget,低,550,
纽约,daily_budget,中,1300,
纽约,daily_budget,高,3800,
纽约,restaurants,低,街头热狗,
纽约,restaurants,低,披萨切片,
纽约,restaurants,低,唐人街平价,
纽约,restaurants,中,美式餐馆,
纽约,restaurants,中,布鲁克林咖啡馆,
纽约,restaurants,高,米其林餐厅,
