id,type,input,city,days,budget,interests,group,special,prediction_type,model_confidence,top_features,total_budget,model_accuracy,processing_time_s
S0004,standard,我想去巴黎玩2天，和朋友一起，我们喜欢购物、自然，预算比较宽裕，有老人。,伦敦,2,中,"自然,历史",单人,轮椅友好,文化深度游,0.54,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,4800,0.8445,0.0198
E0077,edge,我想去东京玩5天，和爱人一起，我们喜欢奢华体验、米其林餐厅，预算比较有限。,东京,5,低,"奢华体验,米其林餐厅",情侣,无,文化深度游,0.23,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,4000,0.8445,0.0148
S0119,standard,我想去巴黎玩5天，和爱人一起，我们喜欢历史、自然，预算比较有限，有老人。,巴黎,2,低,"历史,文化",家庭,有老人,文化深度游,0.6,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,2000,0.8445,0.0202
S0582,standard,我想去罗马玩5天，我们喜欢自然，预算比较有限，有小孩子。,罗马,7,高,文化,情侣,有儿童,情侣浪漫游,0.51,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,42000,0.8445,0.0185
E0095,edge,我想去巴黎玩3天，我们喜欢什么都想看看，预算中等。,巴黎,3,中,什么都想看看,单人,无,文化深度游,0.31,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7200,0.8445,0.016
S0646,standard,我想去纽约玩1天，和爱人一起，我们喜欢文化、历史，预算中等。,东京,1,高,"文化,历史",家庭,有儿童,文化深度游,0.51,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5600,0.8445,0.014
S0443,standard,我想去东京玩1天，和家人一起，我们喜欢历史，预算中等。,纽约,3,低,购物,家庭,有老人,美食购物游,0.57,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,3300,0.8445,0.015
S0585,standard,我想去伦敦玩1天，和朋友一起，我们喜欢自然、购物，预算比较宽裕。,纽约,7,中,文化,家庭,有老人,文化深度游,0.52,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,18200,0.8445,0.0147
S0387,standard,我想去罗马玩3天，和家人一起，我们喜欢美食、购物，预算中等，有老人。,巴黎,5,中,自然,单人,轮椅友好,户外探险游,0.72,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,12000,0.8445,0.0143
B0134,boundary,我想去巴黎玩7天，和爱人一起，我们喜欢历史，预算比较宽裕，有老人。,东京,7,高,文化,家庭,有老人,文化深度游,0.42,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,39200,0.8445,0.0146
B0110,boundary,我想去罗马玩7天，和爱人一起，我们喜欢购物，预算比较宽裕，有小孩子。,东京,7,高,历史,家庭,有老人,文化深度游,0.46,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,39200,0.8445,0.0144
S0545,standard,我想去东京玩1天，和家人一起，我们喜欢文化、历史，预算比较有限，有小孩子。,巴黎,7,中,文化,朋友,有儿童,文化深度游,0.49,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,16800,0.8445,0.0142
